name,description
У каждого своя звезда...,"Клим, когда-то бывший землянином и похищенный инопланетянами, наконец-то стал свободным человеком. Он присоединился к экипажу корабля Стика и Шира. Теперь его зовут Конт Шатун. Командиры корабля сразу же поняли, что новичок какой-то необычный. Дело в том, что показатель интеллекта не характерен для его расы. Позже выясняется, что он – продукт «Проекта «Подкидыш» тринадцатого Старшего Дома Джоре. Проект был частью плана по сохранению наследия расы Джоре, потомками которой являются некоторые земляне."
Колдун 3,"Василий Каганов работал участковым в одной глухой деревушке, которая затерялась в лесах Тверской области. Однажды он осознал, что владеет необычным даром. Дело в том, что Василий – самый настоящий черный маг. Ему двадцать семь лет, он силён и красив. Как и всякого последователя Чернобога его любят женщины. У Василия есть помощники – персональные бесы Минька и Прошка. У него также есть амулет физической защиты, весьма помогающий в его работе."
Солдат чужой войны,"Ник Ламберт родился в мире, где правят коррупционеры и бандиты. Не по своей воле он был втянут в масштабную войну между Перволюдьми и Урайцами. Перволюди – это выходцы с Земли. О них многие колонисты уже давно забыли и считают легендой. Урайя – это могущественная раса инопланетян. Когда-то серокожие были союзниками Перволюдей, теперь же обе расы – непримиримые враги. Они воюют друг с другом не на жизнь, а на смерть."
Ребёнок магната. Не.Разлучные,"— У меня не может быть детей. Никогда, — отталкиваю его. — Твоя семья сделала меня такой. Бесплодной. Забыл? "
Пограничье,"Зовут её Ингрид Хорт, хотя она просит окружающих называть её Соньей. Девушка живёт в мире магии и окончила магическую Школу Добра. После этого ей пришлось отправиться в Приграничье. Здесь, рядом с Зачарованным лесом, она открыла в замке гостиницу. Теперь все её заботы сводятся к пополнению припасов, выставлению счетов клиентам и руганью с прислугой. В один прекрасный день всё меняется."
Кубанская конфедерация. Пенталогия,Главный герой книги живет и действует в постапокалиптическом мире. На планете Земля произошёл катаклизм ужасающих масштабов. В результате использования боевого генномодифицированного вируса чёрной оспы большая часть человечества уничтожена. За время Чёрного Трёхлетия большинство государств мира распалось. Людям пришлось выживать самостоятельно. В результате они построили на остатках старого мира новую социальную структуру.
Охотник,"Сергей Васильевич Елабугов прожил на этом свете сорок пять лет. Он обычный «офисный планктон». В один прекрасный день ему надоела такая жизнь, и Сергей уехал в провинцию. Здесь он живет в глуши, на природе и наслаждается жизнью."
Гладиатор 3 книга,"Руслан – потомственный казак. Родился он в станице Червленной. Служил в Афганистане. Однажды он произнес совершенно случайно вслух одно желание, и оно сбылось. Теперь Урусов живет в ином мире, где технологии и магия идут рука об руку. Чтобы не ждать своей смерти от неизвестной болезни, Руслан становится Гладиатором. Теперь он наемник и выполняет различные задания сильных этого мира."
Полное руководство по хиромантии: Cекреты чтения ладони,"Так как книга является полным курсом хиромантии, в ней много внимания уделено теории. Читатели, прочтя ее, получат знания об основных элементах, составляющих человеческую ладонь: бугор, линия, точка, завитки и т.д. Автор не только разъясняет их значение, но и предлагает способы их расшифровки. Он также рассказывает о трактовке иных знаков, которые размещаются на руках и, в первую очередь, ладонях человека. "
Фея Темной,"Феисия Сэйрано, или же Фэй, когда-то пережила горе, связанное с тем, что произошло с её родной сестрой. Она очень долго училась после этого, чтобы уметь управлять своими магическими способностями. В результате Фэй стала достойной дочерью некромантского клана, который служит Тёмной Богине. Такую её встретил князь Шэанард и не узнал, ведь Фэй стала самой настоящей жрицей Смерти, со всеми присущими этому званию чертами характера."
Прокачаться до сотки 3,"Его зовут Мажор, и в нашем мире он был спецназовцем. В мир Эдема он попал случайно и был весьма удивлён, когда оказалось, что это мир-игра. Руководят игрой местные боги. Они устанавливают правила игры и решают спорные ситуации. Игра очень похожа на реальность: в ней также можно умереть, хотя после этого есть опция воскрешения. Кто запустил эту игру и как можно из неё выйти, игроки не знают."
Алмазная лилия,"Зовут главную героиню Лилия Горшкова. Она обычная ничем не примечательная девушка. Ей тридцать лет, и живёт она с мамой. Лилия хотела бы изменить свою жизнь, но сделать она этого не может, ведь простой библиотекарь в возрасте тридцати лет мало кому интересен. Однажды судьба дала Лилии шанс всё изменить, послав ей давно ушедшего из семьи отца. Папаша, оказывается, сумел как-то разбогатеть. Он утверждает, что является смотрителем приисков драгоценных камней и в доказательство этому предъявляет самые настоящие бриллианты."
На задворках фронтира,"Клим, выходец из нашего мира, стал не по своей воле участником эксперимента тех, кто давно покинул нашу вселенную. Это были представители Старших Домов, входящих в Круг Джоре. Они объявили о том, что раса Джоре находится на грани гибели. Для того чтобы сохранить расу как вид, было принято решение создать и запустить в работу несколько проектов. Клим, как один из потомков расы Джоре, которая очень похожа на человеческую, хотя была несоизмеримо более развитой, становится участником некоторых из них."
Сирота,"Родился и воспитывался Андрей Прохоров в богатой семье. Поэтому его жизнь катилась как по маслу: золотая медаль по окончании школы, красный диплом вуза, карьерные перспективы. Всё закончилось в одночасье, когда у Андрея погибли родители в ДТП и когда врачи нашли у него неизлечимую болезнь. Встретившийся случайно в парке незнакомец предложил ему помощь. Так Прохоров стал участником эксперимента по переносу сознания."
Королева Марго,"Многое в этом романе основано на реальных событиях, в то же время есть доля вымысла и некоторые художественные образы, которые позволяют писателю отразить свои мысли. Во Франции происходит столкновение гугенотов и католиков. В это же время сюда съезжается большое количество дворян на свадьбу принцессы Маргариты и короля Наварры Генриха. Молодой король воспитывался протестантом, и теперь ему предстоит непростая задача сохранить свою жизнь в этом мире, где католики преследуют протестантов. Новоиспеченные супруги не любят друг друга, но им удается договориться и сохранить дружеские отношения."
Корректор реальности,"Главный герой успел побывать во многих местах и телах. Он был молодым баронетом на прекрасной изумрудной планете Мать, находился в гуще дворцовых интриг. Также он успел побывать лётчиком в советском времени, ведя бои над Сталинградом, капитаном. Но всё это уже в прошлом. Главному герою предстоит сотрудничать со Службой коррекции реальности! Таких их всего пять человек на Земле, на которых можно рассчитывать. Поэтому ему придётся пройти учебную подготовку и сдать экзамен. И, будучи Салагой, придётся слушать приказы и выговоры, находиться под руководством Деда, у которого опыта побольше будет. А задания в службе Коррекции реальности вовсе не просты. И понадобится немало умения, чтобы вмешаться в ход Второй мировой войны или блокаду Ленинграда. Так что остаётся выбрать себе модификант и отправляться на задание."
Мухтасар «Сахих»,"Хадис – это предание о словах и поступках пророка Мухаммада. Обычно оно затрагивает как религиозные, так и правовые аспекты жизни уммы. Сумма хадисов образует сунну, которая является одной из основ шариата. Хадисы распространяли сподвижники Пророка. Этот сборник признают мусульмане всего мира потому, что он считается достоверным."
Пространство+ повести. Компиляция. Книги 1-17,"Эти произведения посвящены теме покорения людьми космоса и жизни в нём. При этом в некоторых повестях и романах действие развивается уже на фоне колонизированного космоса. Это обстоятельство делает их чтение увлекательным и интересным. Автор помещает своих героев не только в космос, но и на отдельные его планеты. Там с ними случаются различные происшествия, из которых они выходят с честью, иногда даже попутно спасая вселенную."
Проверка для магистров,"Анна-Лиза, Линда и Селия подругами стали ещё в детстве, так что их дружба проверена временем. Даже когда девушки поступили в магическую Академию, они не изменили своей дружбе. Сейчас же у каждой из них появились свои планы. Одна мечтает обрести свободу, другая горит путешествиями и приключениями, третья же думает только о том, чтобы продолжить своё образование на кафедре в звании аспиранта. Планы не только прекрасные, но и грандиозные!"
Наблюдая,"Райли Пейдж недавно исполнилось двадцать два года. Она учится в университете на психологическом факультете и является агентом-стажером ФБР. Её карьера только начинается, но девушке уже приходится отчаянно сражаться за свою жизнь. Всё начинается с того, что ближайшие друзья Райли по кампусу начинают пропадать. Позже их находят убитыми. Следствие предполагает, что всё это – дело рук серийного убийцы. Пейдж понимает, что в качестве следующей цели безумец избрал её. Стажёру ФБР необходимо найти какой-то выход из сложившегося положения и как можно быстрее."
Худший из миров. Книга 1,"Зовут его Олег Евгеньевич Бендер, и никакого отношения к всемирно известному сыну лейтенанта Шмидта он не имеет. Правда, своей склонностью к авантюризму он немного на него похож. Олег до последнего момента был профессиональным военным. В армию он попал для того, чтобы не сесть в тюрьму. Парень надеялся здесь отсидеться, но, как назло, началась война с инопланетными захватчиками, планомерно уничтожавшими Землю. "
Охотник за головами,"Сергей Пошнагов – обычный среднестатистический землянин. Он был смертельно болен, но благодаря случаю получил новую долгую жизнь. Теперь он живет и путешествует в мирах Звёздного Содружества. Ему открыт мир инопланетных цивилизаций, великих научных и технических достижений, межзвёздных империй. За время своих скитаний Сергей побывал торговцем, контрабандистом, акванавтом и даже сыщиком. К сожалению, это не помогло ему вернуться домой, на Землю."
Наука логики,"С формальной точки зрения она представляет собой эссе. В нём автор излагает основы разработанной им философской системы. Эта система основана на диалектических формах мышления. В своей книге Гегель также рассуждает о способах познания и закономерностях этого процесса. Основной же задачей философии он объявляет познание истины. При этом автор не просто заявляет об этом, а проводит исследование путей, ведущих к ней, а также их эволюцию."
Мера ноль,"У главного героя этой книги был смертельный враг. Он не только отнял у него жену и ребёнка, а также жизнь, но и покусился на его душу. В результате проведённого им ритуала душа попаданца отправилась путешествовать в эфир. Во время путешествия Абсолют предложил мужчине сделку. И всё бы хорошо, но он не успел её заключить. В результате попаданец оказался в чужом мире."
Разборка по-русски,"Бармин Николай Сергеевич, известный в криминальной среде под кличкой Жиган, отсидел четыре года в ИТК особого режима. Прошло четыре года, и осуждённый за хулиганство сорокалетний «гладиатор» теперь на свободе. На нём лишь лёгкая одежда, а на улице мороз минус тридцать пять градусов. Денег за срок отсидки Жиган заработал всего лишь пятнадцать тысяч рублей, родных нет, дома нет. Приходится выкручиваться."
ПРОГРЕССОР ПОНЕВОЛЕ. КНИГА 8,"А началось всё с обычной вылазки на природу. Там мужчина оказался в весьма странном месте, откуда был перенесён в мир магии. Здесь все колдуют, а техника практически не развита. Первым делом, Сергей, а именно так зовут попаданца, стал обживаться в этом новом для него мире. Потом он приступил к ускорению его развития в сфере науки и техники. В результате этот мир достаточно сильно изменился."
НКВД. Война с неведомым,"В СССР, как и во всем мире, любые паранормальные явления сразу же зачислялись в разряд совершенно секретных. Могущественный и зловещий НКВД не является при этом исключением. И это не удивительно, ведь в строго материалистическом Советском Союзе чему-то непонятному и мистическому не было места. При этом сами сотрудники этой спецслужбы неоднократно сталкивались с такими явлениями, но по вполне понятным причинам не могли никому рассказывать об этом. "
Невеста со скальпелем - 2,"Главная героиня работала на скорой помощи самым обычным фельдшером. Однажды, спасая беременную, в сердцах она дала ей пощёчину. Из-за этого разразился настоящий скандал. Это очень не понравилось её жениху, начинающему политику, который из-за этого решил разорвать с ней помолвку. В это время в другом мире у другой девушки случилась беда, и она захотела его покинуть. В результате часть души нашей современницы вселилась в её тело, а его бывшая обладательница получила покой."
Иные Миры,"В другой мир главный герой попал после ДТП. Кто-то или что-то решил его не отпускать и отправил его разум в тело подростка, живущего в другом мире. Зовут его Илья, и живёт он в мире похожем на дореволюционную Россию. Здесь действует магия, и каждый маг имеет свой собственный источник магической энергии. Из-за катастрофы, произошедшей с Ильёй в этом мире, его магический источник почти угас."
Циклы фантастических романов. Компиляция. Книги 1-19,"В сборник вошли произведения, описывающие это противостояние с разных сторон. Здесь живут и действуют как представители Империи, так и защитники Республики. Все они разные, но объединяет их сила, мужество и преданность свой Родине. Ради защиты Империи или Республики они готовы пойти на всё."
Волшебник с изъяном,"Илар жил вместе со своей семьёй в родовом имении в одной из провинций империи Зоран. Его отец в своё время служил в столичной городской страже и сумел скопить для покупки имения небольшой капитал. Он женился на дворянке из обедневшего рода, и у них родился Илар. Парень всю жизнь мечтал стать магом-учёным для того, чтобы исследовать древнюю магию, однако отец хотел его женить, ведь ему нужен наследник его хозяйства."
Мы были подонками: Закладка 1,"Вадим Мансуров – боксёр. Он фанат спорта, и у него есть отличные перспективы сделать спортивную карьеру. При этом страна, в которой Вадим живёт, а это СССР, находится на грани катастрофы. Вадим силён и находится в отличной форме. Именно поэтому, когда ему предлагают принять участие в подпольных боях, он соглашается. Так парень знакомится с криминальным миром."
Украденное воскресенье,"Татьяна Ларина – вполне благопристойная женщина. Недавно она развелась с мужем Дмитрием. От него у неё осталась дочка Ася. Родственники, как могли, поддерживали её. Жизнь Татьяны Лариной шла неспешно, но однажды в её жизни случилось очень необычное происшествие. Оно кардинально изменило её жизнь."
Штабс-капитан Круглов. Книга вторая [СИ],"Сергей Круглов – обыкновенный алкоголик. Он работал сантехником и жил у сожительницы. В один прекрасный день, начальник ЖЭУ заставила его написать заявление по собственному желанию и уволиться за появление в пьяном виде на рабочем месте. Сожительница, узнав об этом, выгнала Сергея из собственной квартиры. Круглов не знал, что ему делать, но всё-таки согласился помочь жильцу его дома, профессору, отремонтировать сантехнику. В благодарность тот предложил ему принять участие в одном интересном научном эксперименте."
Четвертая дочь императора,"Георгий Куксин – обычный среднестатистический студент. Успеваемость средняя, хобби – распитие различных алкогольных напитков в разных компаниях. После очередной пьянки Георгий заблудился в городском парке. Как это может быть, ведь он знает его как свои пять пальцев? Да вот так. Не рассчитал свои силы студент, перебрал лишку. Бывает. А вот что произошло потом, иначе как фантастикой назвать нельзя."
Антология фантастики и фэнтези-50. Компиляция. Книги 1-18,"Герои этих книг не только выживают в экстремальных условиях, но и активно действуют. Они сражаются с врагами, покоряют чужие миры, спасают других людей от гибели. Вполне естественно, что ангелами их не назовёшь, ведь они не боятся крови и давно привыкли к зрелищу смерти. При этом воины будущего не лебезят перед начальством и живут только по тем законам, которые они установили для себя сами."
Битва с империей,"Он – Рыскач. Мужчина обладает уникальной способностью видеть древние магические артефакты. В этом мире он оказался случайно, но сумел стать его частью и занять важное положение в местном обществе. Ему приходится начинать всё сначала. При этом его магия блокирована, и помочь ему некому. Рыскачу необходимо обыграть врага на его же поле. Кроме того, ему необходимо восстановить утерянную магическую силу и обрести новых друзей."
Меняю жир на силу воли,"В ней автор утверждает, что большинство известных способов похудения является мифом. Он опровергает их, предлагая свой способ для похудения. При этом Брин отказывается щадить читателей, называя жирное жирным, а не упитанным. Это, как он считает, является определённым фильтром от неудачников. Автор не занимается теоретизированием, а сразу же дает прямые и чёткие ответы на вопросы, заданные ему читателями. Пример такого вопроса: как не отрастить за праздники зад?"
Герцогиня 2,"Когда-то она жила в нашем мире и даже не мечтала о том, чтобы стать герцогиней. Всё решил несчастный случай, в результате которого наша бывавшая современница переместилась в другой мир. Это мир средневековья, и в нём есть магия. Теперь попаданку зовут леди Элизабет. На неё в этом мире возложена почётная миссия сохранить мир между двумя соседними государствами."
Снежная королева,"Сказка состоит из семи глав, или рассказов. Каждый из них посвящён одному событию из жизни её героев. Главные герои сказки Кай и его сестра Герда. Когда-то давно злой тролль создал кривое зеркало. Оно приносило несчастье каждому посмотревшему в него. Пытаясь донести зеркало до небес, ученики злого тролля разбили зеркало, и осколки от него разлетелись по свету. Один из осколков попал в сердце Кая. Из-за этого он изменился и попал в плен к Злой Снежной королеве. Теперь его сестре Герде придётся пережить многое для того, чтобы сделать Кая прежним и вернуть его домой."
Прикамская попытка. Тетралогия,"Одноклассники Андрей, Никита и Вова встречаются в честь тридцатипятилетнего юбилея. Они решают поехать за город на охоту. Останавливаются мужчины в избушке егеря. Здесь они находят странное зеркало, которое переносит их в прошлое. На дворе тысяча семьсот семидесятый год. За окном – Прикамье. Что делать невольным попаданцам? Если есть здесь второе зеркало, можно попробовать попасть обратно домой. Но где же его искать?"
Антология фантастики и фэнтези-41. Книги 1-19,"В неё вошли произведения таких известных писателей-фантастов как Кирилл Бенедиктов, Николай Степанов, Андрей Ерпылев, Дмитрий Даль и Вадим Тарасенко. Их произведения, включённые в антологию, написаны в стилях: альтернативная история, боевая фантастика и попаданчество. Несмотря на то, что они не объединены общим сюжетом, их сближают главные герои. Это сильные духом и телом люди, оказавшиеся в экстремальных ситуациях. Они далеко не просты в общении и живут по своим собственным законам, храня понятие о долге и чести."
Сбежать от стального короля,"Фаина Аркадьевна жила в нашем мире и работала преподавателем в вузе. Она была очень строгим педагогом. Именно поэтому, когда Фаина Аркадьевна вместе со своими студентами отправилась на природу, в горы, они решили её разыграть. В результате женщина оступилась и сорвалась со скалы."
Повесть временных лет,"«Повесть» – это древнейший из всех дошедших до нашего времени летописных сводов. Он представляет собой собрание сведений о происхождении Русского государства, а также о начальном периоде его истории. Написан он был в начале XII века и сохранился в списках, или изводах. Самыми известными из них являются Лаврентьевский 1377 г. и Ипатьевский 20-х годов ХV века."
Барон поневоле,"Артём – житель Земли. Благодаря воле случая он попадает в тело другого человека. Человек этот из иной вселенной. При этом первый хозяин тела в нём остался, и теперь две абсолютно разные личности вынуждены делить его. Антон договорился со своим соседом, что один из них будет управлять телом днём, а другой – ночью. Один из хозяев тела стремится не только выжить, но и преуспеть. Второму же в жизни нужны только удовольствия. По этой причине обитатель другой вселенной постоянно попадает в разнообразные неприятные ситуации."
"Всё, Рыжая! Доигралась!","— Филиппова, когда в одной очереди раздавали красоту, а в другой ум — ты везде опоздала. Сочувствую! Ан нет! Ни фига! Я? Тебе? Сочувствовать? Да ни в жизнь! Внимание! В тексте присутствуют: ненормативная лексика, откровенные сцены, любоффф и конечно ХЭ! В тексте есть: юмор, от ненависти до любви, откровенные сцены"
"Цикл: ""Банда"". Компиляция. Книги 1-6","Его главный герой – Александр Бондарович по кличке Банда. Он – профессиональный военный в отставке. У Александра нет семьи. Его мать умерла, а отец убит в пьяной драке. Воспитывался Бондарович в интернате, а позже его семьёй стала армия. Служил Банда в десанте, воевал в Афганистане. Там он и познакомился с Ахметом, местным криминальным авторитетом. Тот предложил ему заработать на охране его секретного лагеря."
Полное собрание сочинений в одном томе,"Жизнь писателя сложилась непросто, но это не помешало ему после смерти стать основоположником жанра детектива. Кроме того, он внес большой вклад в становление и развитие мистической литературы и литературы ужасов. Его детективные произведения любимы читателями по всему миру. В собрание сочинений включены рассказы, повести и стихи писателя. Поэтому, если приобрести эту книгу, можно изучить все его творчество, заняв одно место на книжной полке. "
СЛАВА РОДУ!,"Автор много путешествовал по миру. Во время своих поездок он очень внимательно вслушивался в русскую речь и речь других народов. Он также занимался исследованиями, посещал архивы. Благодаря этому он понял тесную связь рода с простыми русскими словами. В его толковании они приобретают новое, совершенно неожиданное значение. По мнению Михаила Задорнова, их корни разбросаны по всему миру и тянутся даже в Древний Египет. "
Шанс на счастье,"Анна Скворцова живёт с дочерью Ксюшей на съёмной квартире. На жизнь она зарабатывает, работая моделью на фотосъёмках. Однажды дочь просит рассказать маму, где её папа. Анна не знает, что ей на это ответить. Несколько лет назад у неё был ученик по имени Руслан, по возрасту младше её. Женщина сама не знает, как они оказались в одной постели. Анна быстро рассталась с мужчиной и постаралась его забыть."
Хроники Акаши,"Его книга представляет собой изложение Учения Жизни. По мнению Кейси, во вселенной существует некий архив, в котором хранится информация о каждом представителе человечества, когда-либо жившем на нашей планете. Автор считает, что такая информация, как чувства человека, его поступки, мысли и намерения хранятся в особом информационном поле Земли. Там же, по его мнению, можно найти и сведения о прошлых жизнях людей и будущем каждого человека. При этом Кейси утверждает, что она доступна каждому, кто пожелает узнать это."
Затерявшийся,"В нашем мире он умер после того, как на него было совершенно покушение. Очнулся мужчина в весьма странном месте. Здесь он познакомился с непонятной Сущностью, которая отправила его разум в тело человека из 1941 года. Теперь попаданца зовут Константин Шеин, ему двадцать один год, и он – член ВЛКСМ. Великая Отечественная война только что началась. Константин отстал от своей колонны и был вынужден вступить в бой с немцами."
Конкретное попадание,"Федор Петрович Климов прожил на Земле 67 лет. Ему не было дела до инопланетян и звёздных империй. Всю свою жизнь мужчина спасал человеческие жизни, работая в медицине. К сожалению, своё собственное здоровье он не уберёг, и поэтому одна из его прогулок на свежем воздухе оказалась для него последней. Но от его смерти кто-то всё-таки выиграл. Это космические пираты, которые охотились на Земле за рабами. Дело в том, что земляне высоко ценятся в Мирах Содружества, ведь многие из них имеют показатель интеллекта свыше 250. Это позволяет из них создать ИскИн класса АА."
Дикий лейтенант,"Сергей Васильевич Хоменко родился в 1958 году в городе Киеве. Однажды с ним произошла удивительная история. Он встрял в какую-то странную перестрелку. В результате раненого мужчину робот доставил на борт межгалактического крейсера могущественной звездной Империи. Земля для нее – незначительная планета, которая случайно попала в центр сражения."
Воевода,"В нашем мире ему оставалось жить всего-то несколько месяцев. Счастливый случай всё изменил и дал ему вторую жизнь. Теперь он живёт в Средневековье, и его зовут Михаил Романов. Жизнь крепко потрепала его в этом мире: парень был наёмником, побывал в Царьграде, пройдя путём «из варяг в греки». Он видел много в своей второй жизни и даже чуть было не разрушил государство турков-сельджуков."
